run,lambda_0,lambda_1,lambda_2,lambda_3,lambda_5
0,1529,285,200,162,165
1,2200,357,190,197,213
2,1723,668,620,692,720
3,100,77,159,199,202
4,3324,731,256,256,256
5,506,74,108,109,109
6,713,438,487,507,530
7,3478,972,343,351,352
8,1699,220,210,229,289
9,3331,1040,184,189,207
10,2166,1103,508,527,544
11,3131,842,214,167,217
12,6,69,126,129,133
13,3575,882,240,243,248
14,1919,572,368,407,421
15,1753,354,259,267,271
16,2367,622,333,348,355
17,2364,223,163,176,190
18,908,178,131,216,224
19,3210,1219,426,465,514
20,2041,108,73,73,87
21,647,277,169,147,205
22,3861,1754,559,586,608
23,3378,430,418,462,483
24,1847,762,247,280,294
25,676,417,366,378,387
26,2577,326,348,380,382
27,3039,505,300,307,316
28,1895,960,515,493,504
29,1702,35,35,35,35
30,1144,586,238,272,309
31,1,1,1,1,1
32,2044,495,263,210,222
33,738,142,105,151,159
34,1633,460,256,288,297
35,2283,1051,384,346,355
36,3630,1058,278,338,351
37,1854,371,309,320,349
38,4295,444,408,437,456
39,2894,239,229,235,242
40,3085,679,358,338,364
41,3089,205,157,161,162
42,3235,973,372,387,398
43,669,208,244,286,272
44,2338,216,210,217,218
45,871,157,74,75,76
46,3278,328,183,212,221
47,1054,531,594,643,657
48,1275,428,353,369,389
49,533,328,229,217,226
50,3248,175,155,194,195
51,868,305,211,221,225
52,426,144,156,158,168
53,1528,377,319,307,307
54,1429,639,489,505,516
55,624,348,246,278,286
56,2553,366,368,412,495
57,3781,511,468,555,663
58,327,273,258,256,245
59,437,305,248,251,252
60,3746,755,231,225,223
61,833,396,331,323,326
62,1336,828,433,451,470
63,3762,735,295,353,363
64,604,152,144,167,183
65,237,17,12,18,18
66,1374,475,307,315,320
67,4334,598,659,748,831
68,887,291,278,308,324
69,543,215,184,191,196
70,2815,234,293,300,331
71,443,122,167,206,222
72,829,355,226,202,208
73,2781,587,477,584,602
74,3284,716,313,324,349
75,1114,635,352,350,368
76,2267,339,281,283,285
77,3877,615,256,261,263
78,3357,359,356,384,395
79,2772,178,207,241,244
80,1348,484,418,470,486
81,2187,73,165,217,225
82,2223,867,436,442,443
83,1679,478,186,196,217
84,2783,700,534,581,616
85,3116,306,321,347,373
86,1574,658,248,250,269
87,1523,366,348,374,391
88,0,0,0,0,0
89,1620,499,469,473,501
90,1147,208,207,225,231
91,2932,1374,625,644,662
92,2125,61,58,58,58
93,1545,572,308,327,336
94,3154,1404,881,1062,1100
95,3050,345,301,309,289
96,739,385,162,169,181
97,1391,250,190,204,204
98,306,18,29,21,27
99,871,259,292,334,343
