topology,topo_seed,baseline_failures,targeted_reduction_pct,uniform_reduction_pct
er,10000,412.2,51.3,20.7
er,10001,376.1,56.7,29.6
er,10002,353.2,53.2,24.3
er,10003,356.4,53.4,27.0
er,10004,289.1,49.4,27.5
er,10005,363.3,48.5,24.2
er,10006,413.3,50.6,19.5
er,10007,292.6,43.4,18.5
er,10008,344.4,60.8,24.8
er,10009,336.6,54.3,26.2
er,10010,340.7,58.4,21.6
er,10011,302.4,49.9,21.6
er,10012,271.1,48.6,18.7
er,10013,366.1,45.3,28.2
er,10014,320.2,45.0,20.3
er,10015,387.6,55.3,21.6
er,10016,359.2,44.6,22.4
er,10017,305.2,53.1,25.0
er,10018,339.2,60.4,20.5
er,10019,354.7,54.1,16.2
pa,10000,308.8,51.9,20.6
pa,10001,276.1,57.0,20.4
pa,10002,262.1,52.8,24.2
pa,10003,423.9,51.5,12.1
pa,10004,275.2,57.2,7.8
pa,10005,279.8,52.9,21.7
pa,10006,503.9,73.6,20.2
pa,10007,352.9,59.5,23.0
pa,10008,260.9,52.7,19.0
pa,10009,330.5,62.5,27.4
pa,10010,314.5,60.2,14.3
pa,10011,315.4,38.5,17.7
pa,10012,311.6,58.6,21.1
pa,10013,281.4,48.8,27.9
pa,10014,319.7,64.3,24.4
pa,10015,390.6,39.4,22.0
pa,10016,304.2,56.0,32.1
pa,10017,336.9,59.7,19.2
pa,10018,390.0,53.8,22.5
pa,10019,282.9,52.0,5.5
